"Parameter","mean","se_mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","n_eff","Rhat","valid","Q5","Q50","Q95","MCSE_Q2.5","MCSE_Q25","MCSE_Q50","MCSE_Q75","MCSE_Q97.5","MCSE_SD","Bulk_ESS","Tail_ESS","Temp","TL"
"e1",2.48927145828214e-05,5.89350352316328e-08,5.05681132985882e-06,1.56727520901826e-05,2.1323394114447e-05,2.46643468340882e-05,2.81777963854105e-05,3.55101693571415e-05,7299,1.00027907289047,1,1.7077304142634e-05,2.46643468340882e-05,3.35681551907331e-05,1.24433272395261e-07,7.02566651813818e-08,7.33578114442607e-08,6.91265276014341e-08,9.00819953860609e-08,4.16750142226434e-08,7041,6893,17,2
"d1",1.12954085683772,0.00240568055399705,0.20589748472235,0.743891778889559,0.987930887203865,1.12479570488721,1.26542828006434,1.5425809955334,7319,1.00016993516551,1,0.801459324978536,1.12479570488721,1.47393539909398,0.00484677173995418,0.00344664118718879,0.00303412497696509,0.00285181305217019,0.00442158157042638,0.00170114076500862,7154,7398,17,2
"h1",4.37635423846328e-06,2.19012211349815e-08,2.21430137265475e-06,4.66707794478892e-07,2.72947779981521e-06,4.30237337588886e-06,5.86180513114505e-06,8.93174455509872e-06,10219,1.00052150606793,1,8.59921151439715e-07,4.30237337588886e-06,8.15627776190903e-06,3.3447023613066e-08,3.78588038997591e-08,2.45144475025285e-08,2.67082858775388e-08,7.89459805769037e-08,1.54869439249536e-08,9002,5297,17,2
"w1",1.95667293523791,0.00303320273803714,0.287775117044794,1.42712976568648,1.75727505467347,1.94131562383064,2.14405314895316,2.56171596450476,8988,0.999992676111523,1,1.5066901324142,1.94131562383064,2.45514538963968,0.00816502927801765,0.00380274244400858,0.00329072911801709,0.00382998727404416,0.00878858876843713,0.00214486772924622,8900,9359,17,2
"B",0.080812594689274,0.000268944683482068,0.0212627354956037,0.0412987681637655,0.0666727721536951,0.0799591595789718,0.0944300047629711,0.125254326281517,6247,1.00007668155356,1,0.0476274496801067,0.0799591595789718,0.117709569051802,0.000982976669441357,0.000238565626648535,0.000278419681208869,0.000326794666812041,0.000899601452094653,0.000190181484030491,6489,6311,17,2
"N1_0[1]",177905.633046401,324.690736913845,28837.4859843807,125071.626089929,158236.737556062,176633.096956106,196417.745712618,238187.165074593,7867,1.00064331197413,1,132607.491409588,176633.096956106,227459.2544058,711.431128879944,320.579035146744,387.017691296627,370.019865502341,1027.03777745644,229.599511161561,7687,8394,17,2
"N1_0[2]",196424.212575989,331.269995625417,30294.8845357363,141111.484213361,175078.486418577,195379.007470079,216175.922189812,259029.97201065,8348,1.00019134435564,1,148958.176513491,195379.007470079,248108.408838213,591.076249509468,444.750312291741,396.959684038564,482.539090001301,832.371418239418,234.251429974655,8232,9228,17,2
"N1_0[3]",200427.037489209,312.825792343037,28434.1647047667,146802.119485951,181102.625233226,199497.541735852,218584.003675799,258890.206987614,8265,1.00034835286197,1,155380.7162896,199497.541735852,248859.493958389,703.825195905738,360.034106596242,324.100154707834,389.756426912718,793.711328033372,221.209048521926,8185,8910,17,2
"N1_0[4]",248569.632488139,332.367002282559,31852.3335634643,187956.881190034,227031.787093741,247661.742356249,269246.841490106,314760.07898828,9183,1.00072478647124,1,197601.887313802,247661.742356249,303052.54029658,771.14972267508,421.491105247638,344.927995271792,461.542017558269,982.658215904521,235.026425270197,9146,10574,17,2
"N1_0[5]",254858.92025025,53.5834612446996,6649.18868787013,241915.265421549,250344.24144837,254840.494584795,259265.938525913,267906.878565484,15402,1.00005294960412,1,243942.276644541,254840.494584795,265953.81826706,129.228763415784,86.7068006355112,61.5681064777164,93.7524897294934,178.867427269492,37.8899468374445,15392,11287,17,2
"N2_0[1]",0.220244992694251,0.00114841041254509,0.134902928766205,0.0292897167400312,0.117531424788304,0.198177094102707,0.301851518245873,0.535004475475477,13784,0.999929803340303,1,0.0420898648282551,0.198177094102707,0.472839982498522,0.00109339778607834,0.00150382615304986,0.00146497965192161,0.00164620926219322,0.00394970225479341,0.000812065958130968,10289,6676,17,2
"N2_0[2]",0.168016188963114,0.00109470164914098,0.126205541593159,0.0105035891665139,0.0685578733503382,0.141135211122386,0.23916943813927,0.475549495064166,13235,1.00025572457285,1,0.0175711249752654,0.141135211122386,0.409243564715146,0.000748412234526884,0.00121738327841999,0.0018111828204497,0.00189017713062906,0.00404475412246694,0.000774087944682473,8528,6502,17,2
"N2_0[3]",0.216637640999214,0.0011121331526611,0.132585432103097,0.0313361998122969,0.114696671703836,0.194809033088201,0.295275536080703,0.523432799063216,14146,1.0001397053513,1,0.0438077372893286,0.194809033088201,0.46650371959522,0.00113650710295366,0.00137962063635664,0.00160756036009377,0.0016523742405746,0.00400265171487441,0.000786413035435191,10867,7265,17,2
"N2_0[4]",0.111525390594939,0.000919781443803288,0.106667124464576,0.00464035769464119,0.0324185886341637,0.0768423417119405,0.159643283030895,0.396270573872382,13417,1.00031731299661,1,0.00786630044141587,0.0768423417119405,0.326427651183645,0.000245547304868538,0.000706249697453181,0.00111085036650418,0.00191597557889665,0.00410492581271441,0.000650397795769847,9926,8261,17,2
"N2_0[5]",0.117753380301149,0.000511478375668149,0.0581979918128152,0.024085702929692,0.0734302773129425,0.11193172344897,0.154781100239582,0.243709444505811,12910,1.00026436895003,1,0.03286459285763,0.11193172344897,0.221431801935057,0.000886156526603949,0.000789760612975532,0.000658495021271938,0.000749996955514656,0.00137752379557407,0.0003616779749415,10270,6238,17,2
"r",0.106612006814997,0.000352895312829025,0.0162996841312978,0.0786834312691058,0.0959560207999807,0.105101842737466,0.115475355642996,0.143492203674395,2109,1.00281719283318,1,0.0830635815742835,0.105101842737466,0.134790681292207,0.000503275527387395,0.000338285774653696,0.000318981299115513,0.000338162685291174,0.00118947720973492,0.000249568792192563,1999,2904,20,2
"Q",1.79087762463734e-07,1.91334503738033e-09,8.53379100434629e-08,3.61018584458539e-08,1.14978326753186e-07,1.72094858129297e-07,2.35654782704836e-07,3.61119765814488e-07,1982,1.00126799632857,1,5.12946935911579e-08,1.72094858129297e-07,3.3010549185702e-07,2.11852923731837e-09,1.82855096027325e-09,2.19172784243435e-09,2.36372601999906e-09,3.32207929287049e-09,1.35313766661166e-09,1973,3130,20,2
"a1",0.190754419085784,0.00387984203532569,0.128946307623485,0.00145872356247362,0.123362752410881,0.173270083050728,0.242148740070314,0.508566989012889,1094,1.00726416670408,1,0.00236441188805406,0.173270083050728,0.422496363082188,0.0001128357122336,0.00361781711350886,0.00211176865688249,0.00299889240595898,0.012331122760931,0.00274418736878467,891,998,20,2
"e1",0.000557050755431562,6.80969266169995e-05,0.0016653823184739,1.67897423709401e-05,3.18261579970713e-05,4.43798022755274e-05,6.68629788226327e-05,0.00693463608911133,595,1.00487132713762,1,1.96052697917423e-05,4.43798022755274e-05,0.00465755875332985,2.23817008284231e-07,2.93880702670394e-07,6.6798100918951e-07,2.41215746385419e-06,0.000338549612521338,4.81752996535096e-05,871,1052,20,2
"d1",2.02271390750015,0.00748814769366141,0.538198045605889,1.08061942685509,1.62305895880161,1.98801572220237,2.38247321591638,3.19335103928587,5144,1.00086119040495,1,1.20520425184485,1.98801572220237,2.98457291612418,0.0114208436018058,0.00664493291629364,0.00637647658352158,0.0115992088145906,0.0320271499275331,0.00586646141563668,5565,2152,20,2
"h1",4.40060202004874e-05,5.26923927047048e-06,0.000142512980685367,1.97642744518852e-07,2.3530951296969e-06,4.94228189549318e-06,8.68618862593473e-06,0.00057533346033306,729,1.00279394885269,1,4.12130224989262e-07,4.94228189549318e-06,0.00032258685306614,1.49101071211218e-08,6.12230718769081e-08,1.07891805173137e-07,3.6931583747749e-07,3.98497770466581e-05,3.72740144654644e-06,929,1002,20,2
"w1",1.00870718299297,0.02250578232996,0.593607140531768,0.426171305862443,0.609829380976765,0.793804599602603,1.19301058808552,2.67332427027987,693,1.00307966006519,1,0.459680004945492,0.793804599602603,2.3092635328415,0.00236442066226425,0.00479930141007534,0.0110676771840766,0.0438277557599982,0.0630640505671145,0.0159206680703306,953,1537,20,2
"B",0.0915311028739295,0.000329240180549509,0.0194438448953927,0.0585915537558641,0.0781534431617668,0.0895762048344518,0.102841088826997,0.135934029595254,3465,1.00139138405076,1,0.0635645541451503,0.0895762048344518,0.126068012783749,0.000374538987395315,0.000331300128267153,0.00031809923792412,0.000398818632637847,0.00167913912952374,0.000241437539355007,3694,3818,20,2
"N1_0[1]",236478.125535189,479.118467750709,33965.0233909164,169674.562461239,214908.92999375,235653.035028415,256956.090548126,306463.307844762,5038,1.00001362577216,1,181932.893305721,235653.035028415,292688.801349574,1468.69198403622,623.564527398587,432.628874939299,527.775532957166,1277.31455291482,338.807581869512,4914,5025,20,2
"N1_0[2]",228727.118271288,600.775036551302,36298.596682024,161251.737328872,205006.571202991,227157.894639484,249615.121173214,308967.665458362,3638,1.00022907334851,1,173028.347333546,227157.894639484,291721.266452284,1224.92233857176,639.204340921686,568.088954307896,577.443227522672,2024.77259343048,424.846048329976,3467,5540,20,2
"N1_0[3]",332310.768829711,1897.2003053766,58109.3921676643,205239.938491052,297889.03073323,339820.996494881,371941.184197957,432673.608919183,937,1.00227929898724,1,224342.814449224,339820.996494881,418530.983170353,2388.04027648873,3620.34778035863,1447.28960760788,892.972232228814,1532.7829444884,1341.94050166734,1091,1654,20,2
